DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Betagi,100272,RANIPUR KHONTAKATA DARUSSUNNAT JUNIOR SCHOOL,RANIPUR,GARIA BUNIAHAT,1715916832,PRIVATE,No
Barguna,Betagi,131154,KAZIRABAD JUNIOR SECONDARY SCHOOL,KAZIRABAD,KAZIRABAD,1721444110,PRIVATE,No
Barguna,Patharghata,100300,KALMEGHA MUSLIM SECONDARY SCHOOL AND COLLEGE,KALMEGHA,KALMEGHA,1714635280,PRIVATE,Yes
Barguna,Patharghata,100301,MANIKKHALI RAHMANIA HIGH SCHOOL,MANIKKHALI,MANIKKHALI,1309100301,PRIVATE,Yes
Barguna,Patharghata,100302,ANOWER HOSSIN GIRL'S HIGH SCHOOL,PATHARGHATA   131,PATHARGHATA,1309100302,PRIVATE,Yes
Barguna,Patharghata,100303,PATHARGHATA K. M. GOVT. HIGH SCHOOL,"PATHARGHATA POURASAVA-HOLDING NO.-335, 335/1,335/2",PATHARGHATA,1309100303,PUBLIC,Yes
Barguna,Patharghata,100304,KAKCHIRA SECONDARY SCHOOL ,KAKCHIRA,KAKCHIRA,1309100304,PRIVATE,Yes
Barguna,Patharghata,100305,PATHARGHATA ADARSHA GIRLS HIGH SCHOOL,PATHARGHATA,PATHARGHATA,1733252044,PRIVATE,No
Barguna,Patharghata,100306,TASLIMA MEMORIAL ACADEMY,PATHARGHATA KG SCHOOL ROAD,PATHARGHATA,1710848422,PRIVATE,Yes
Barguna,Patharghata,100307,CHARDUANI HIGH SCHOOL AND COLLEGE,CHARDUANI,CHARDUANI,1716780658,PRIVATE,Yes
Barguna,Patharghata,100308,LEMUA ADARSHA SECONDARY SCHOOL,LEMUA,LEMUA,1309100308,PRIVATE,Yes
Barguna,Patharghata,100309,NACHNAPARA MANIKKHALI HIGH SCHOOL,GAHAN PARA,NACHNAPARA,1710704513,PRIVATE,Yes
Barguna,Patharghata,100311,K.K. AZIZIA HIGH SCHOOL,AZIZABAD,AZIZIABAD,1715798712,PRIVATE,Yes
Barguna,Patharghata,100312,RUPDHAN BANDAR AMIRIA SECONDARY SCHOOL,RUPDHAN,RUPDHAN,1309100312,PRIVATE,Yes
Barguna,Patharghata,100313,HATEMPUR SECONDARY SCHOOL,HATEMPUR,HATEMPUR,1740853175,PRIVATE,Yes
Barguna,Patharghata,100314,HOGLAPASHA  SURENDRANATH HIGH SCHOOL,HOGLAPASHA,MUNSHIRHAT,1720556411,PRIVATE,Yes
Barguna,Patharghata,100315,MADERTALI HIGH SCHOOL,MADARTALI,MADARTALI,1713951579,PRIVATE,Yes
