DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Rangamati Sadar  Up,107804,BASANTA JUNIOR HIGH SCHOOL,BASANTA,RANGAMATI,1556623356,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107805,BANDHUK BHANGA HIGH SCHOOL,NOADAM,RANGAMATI,1827187054,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107806,VEDVEDEE POURA HIGH SCHOOL,VEDVEDEE PARA,RANGAMATI,1556567188,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107807,TAIMIDONG JUNIOR HIGH SCHOOL,R/33 TAIMIDONG,RANGMATI,1553321508,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107808,BADAL CHARI JUNIOR SCHOOL,BADAL CHARI,RANGMATI,1837835842,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107809,CHONGRA CHARI JUNIOR HIGH SCHOOL,CHONGRA CHARI,RANGAMATI,1831183882,PRIVATE,No
Rangamati,Rangamati Sadar  Up,107810,TRIPURA CHARA JUNIOR HIGH SCHOOL,R 208,RANGAMATI,1828910734,PRIVATE,No
Rangamati,Rangamati Sadar  Up,107811,KAINDYA DOUZAREE PARA JUNIOR HIGH SCHOOL,KAINDYA,RANGAMATI,1556776730,PRIVATE,No
Rangamati,Rangamati Sadar  Up,107814,JIBTALI JUNIOR SCHOOL, 73 PANCHARI,RANGAMATI,1556540579,PRIVATE,No
Rangamati,Rangamati Sadar  Up,137574,SUKARCHAR GOVT. PRIMARY SCHOOL,SHUKARCHARI,RANGAMATI,1866980379,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar  Up,137885,HAMANTA GOVT. PRIMARY SCHOOL,SHIL CHARI,RANGAMATI,1866980140,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar  Up,138987,ST TERESA S SCHOOL,TABALCHARRY,RANGAMATI SADAR,1779909178,PRIVATE,No
Rangamati,Rangamati Sadar  Up,138994,HAZAR MANIK JUNIOR HIGH SCHOOL,HAJA CHARI,RANGAMATI SADAR,1557484453,PRIVATE,No
Rangamati,Rangamati Sadar  Up,139007,MAWRUM IDEAL JUNIOR HIGH SCHOOL,"HEADMAN PARA, KUTUKCHARI, RANGAMATI TO KHAGRACHARI ROAD",RANGAMATI,1824649553,PRIVATE,No
Dhaka,Adabor,108041,BOSLIA HIGH SCHOOL,BOSILA,MOHAMMADPUR,1774531577,PRIVATE,Yes
Dhaka,Adabor,108229,NABADIGANTA ADARARSHA HIGH SCHOOL,"213 ,BARIBAD,ADABOR,DHAKA-1207.",MOHAMMADPUR,1309108229,PRIVATE,No
Dhaka,Adabor,108240,BEGUM NURJAHAN MEMORIAL GIRLS H\S,"6\F RING ROAD,",MOHAMMADPUR,1309108240,PRIVATE,Yes
Dhaka,Adabor,130866,SHYAMOLY PUBLIC SCHOOL,55-59 ROAD NO- 07 RAFIQUE HOUSING ADABOR DHAKA -,MOHAMMADPUR,1552440147,PRIVATE,Yes
