DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Naniarchar,107778,NANIARCHAR JUNIOR GIRLS SCHOOL,NANIARCHAR,61 NO CHHAYKURI BILL,1553241686,PRIVATE,No
Rangamati,Naniarchar,131070,TOYCHAKMA HEADMAN PARA JUNIOR HIGH SCHOOL,TOYCHAKMA,NANIARCHAR,1643175514,PRIVATE,No
Rangamati,Rajasthali,107783,RAJASTHALI TAITONG PARA GOVT. HIGH SCHOOL,NARAMUKH PARA,RAJASTHALI,1557279091,PUBLIC,No
Rangamati,Rajasthali,107784,BANGAL HALIA HIGH SCHOOL,BANGAL HALIA,BANGAL HALIA,1553119628,PRIVATE,Yes
Rangamati,Rajasthali,107785,RAJASTHALI UPAJATIO ABASIKH HIGH SCHOOL,BANGAL HALIA,BANGALHALIA,1727289612,PRIVATE,No
Rangamati,Rajasthali,107786,GAINDYA HIGH SCHOOL,GAINDYA,RAJASTHALI,1815197938,PRIVATE,Yes
Rangamati,Rajasthali,107787,GHELA CHARI JUNIOR SCHOOL,DACTAR PARA,RAJASTHALI,1556594301,PRIVATE,No
Rangamati,Rajasthali,131090,MATHUE PRUE- PRUE HLAU HEADMAN SMRITY JUNIOR SCHOOL,TAITONG PARA,RAJASTHALI,1864813799,PRIVATE,No
Rangamati,Rajasthali,137559,ISLAMPUR GOVT. PRIMARY SCHOOL,ISLAMPUR,RAJASTHALI,1553103074,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar,107790,OMDAMIA HILL POURA JUNIOR HIGH SCHOOL,9\231,SADAR,1556533442,PRIVATE,No
Rangamati,Rangamati Sadar,107791,SHAPCHARI HIGH SCHOOL,SHAPCHARI,RANGAMATI,1820305177,PRIVATE,Yes
Rangamati,Rangamati Sadar,107792,MOANOGHAR RESIDNTIAL HIGH SCHOOL,RANGAMATI,RANGAMATI,1839927145,PRIVATE,Yes
Rangamati,Rangamati Sadar,107793,SHAH BOHUMUKHI HIGH SCHOOL,D.S B KOLONI,RANGAMATI,1557159931,PRIVATE,Yes
Rangamati,Rangamati Sadar,107794,RANI DAYAMOYEE HIGH SCHOOL,RAJBARI AREA,RANGAMATI,1556534300,PRIVATE,Yes
Rangamati,Rangamati Sadar,107795,RANGAMATI GOVERNMENT HIGH SCHOOL,RESERV MUKH/SANTIMOY DEWAN SARAK,RANGAMATI,1828806861,PUBLIC,No
Rangamati,Rangamati Sadar,107797,RANGAMATI GOVT GIRLS HIGH SCHOOL,"ART COUNCIL COLONY, TABALCHARI",RANGAMATI,1556741204,PUBLIC,No
Rangamati,Rangamati Sadar,107798,SHAHEED ABDUL ALI ACADEMY,RANGAMATI SADAR,RANGAMATI,1556777749,PRIVATE,Yes
Rangamati,Rangamati Sadar,107799,KHARIKHYONG HIGH SCHOOL,KHARIKHYONG,RANGAMATI,1556775940,PRIVATE,Yes
Rangamati,Rangamati Sadar,107800,BARA MOHAPURAM HIGH SCHOOL,KUTUK CHHARI,RANGAMATI,1820322180,PRIVATE,Yes
