DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Kishorganj,124985,MAGURA HIGH SCHOOL,MAGURA  DALIA ROAD,MAGURA,1773737179,PRIVATE,Yes
Nilphamari,Kishorganj,124986,KISHOREGANJ M.L HIGH SCHOOL,KISHOREGANJ,KISHOREGANJ,1309124986,PRIVATE,Yes
Nilphamari,Kishorganj,124987,MUSHRUT PANIAL PUKUR HIGH SCHOOL,MUSHRUT PANIALPUKUR ,MUSHRUT PANIAL,1740956486,PRIVATE,Yes
Nilphamari,Kishorganj,124990,SINGER GARI HIGH SCHOOL,UTTAR SINGERGARI,SINGERGARI,1.71954E+18,PRIVATE,Yes
Nilphamari,Kishorganj,124992,KHAMAR GARAGRAM BI-LATERAL HIGH SCHOOL,KHAMAR GARAGRAM,KHAMAR GARAGRAM,1722445081,PRIVATE,Yes
Nilphamari,Kishorganj,124993,CHANDKHANA HIGH SCHOOL,UTTAR CHANKHANA,CHANDKHANA,1759029600,PRIVATE,Yes
Nilphamari,Kishorganj,124995,NITAI HIGH SCHOOL,NITAI,NITAI,1309124995,PRIVATE,Yes
Nilphamari,Kishorganj,124996,GARAGRAM  HIGH SCHOOL,GARAGRAM,KHAMAR GARAGRAM,1724546648,PRIVATE,Yes
Nilphamari,Kishorganj,124997,PURBADALIRAM HIGH SCHOOL,PURBA DALIRAM,GANESH,1309124997,PRIVATE,Yes
Nilphamari,Kishorganj,124999,GANESH ADARSHA HIGH SCHOOL,GANESH,GANESH,1757953334,PRIVATE,Yes
Nilphamari,Kishorganj,125001,MELABAR DWI MUKHI HIGH SCHOOL,MELABAR,BARAVITA,1713937047,PRIVATE,Yes
Nilphamari,Kishorganj,125002,MELABAR B.L GIRLS HIGH SCHOOL,MELABAR,BARAVITA,1713937051,PRIVATE,Yes
Nilphamari,Kishorganj,125004,KHILAL GANJ HIGH SCHOOL,UTTAR SINGERGARI,SINGERGARI,1712687265,PRIVATE,Yes
Nilphamari,Kishorganj,125005,DAKSHIN SONA KURI GIRL'S HIGH SCHOOL,DAKSHIN SONA KURI,KHAMAR GARAGRAM,1715507264,PRIVATE,Yes
Nilphamari,Kishorganj,125007,KISHAMAT BODI HIGH SCHOOL,KISMAT,GANESH,1720335053,PRIVATE,Yes
Nilphamari,Kishorganj,125008,CHAND KHANA MAZAPARA HIGH SCHOOL,DAKSHIN CHANDKHANA,KELLABARI,1724550311,PRIVATE,Yes
Nilphamari,Kishorganj,125009,SINGERGARI GAHURIA SHARIF  HIGH SCHOOL,SINGERGARI,SINGERGARI,1718140077,PRIVATE,Yes
Nilphamari,Kishorganj,125010,UTTAR DURAKUTI HIGH SCHOOL,UTTAR DURAKUTHI,MAUNAKURI,1713722690,PRIVATE,Yes
Nilphamari,Kishorganj,125011,BAHAGILIGAT HIGH SCHOOL,BAHAGILI,KELLABARI,1712298359,PRIVATE,Yes
